,CompanyName,Ticker
342,Inventus Mining Corp.,IVS.V
343,Silver North Resources Ltd.,SNAG.V
344,BTU Metals Corp.,BTU.V
345,Antler Gold Inc.,ANTL.V
346,Golden Ridge Resources Ltd.,GLDN.V
347,E2Gold Inc.,ETU.V
348,Wildsky Resources Inc.,WSK.V
349,Dixie Gold Inc.,DG.V
350,Lion Rock Resources Inc.,ROAR.V
351,Taura Gold Inc.,TORA.V
352,Metals Creek Resources Corp.,MEK.V
353,Fidelity Minerals Corp.,FMN.V
354,AM Resources Corp.,AMR.V
355,Golden Pursuit Resources Ltd.,GDP.V
356,Baru Gold Corp.,BARU.V
357,Guyana Goldstrike Inc.,GYA.V
358,Falcon Gold Corp.,FG.V
359,GPM Metals Inc.,GPM.V
360,Centenario Gold Corp.,CTG.V
361,Inca One Gold Corp.,INCA.V
362,Western Gold Exploration Ltd.,WGLD.V
363,Iconic Minerals Ltd.,ICM.V
364,Genius Metals Inc.,GENI.V
365,CMC Metals Ltd.,CMB.V
366,Colibri Resource Corporation,CBI.V
367,Highway 50 Gold Corp.,HWY.V
368,Canasil Resources Inc.,CLZ.V
369,Badlands Resources Inc.,BLDS.V
370,Signature Resources Ltd.,SGU.V
371,Kingsmen Resources Ltd.,KNG.V
372,Reyna Gold Corp.,REYG.V
373,Stroud Resources Ltd.,SDR.V
374,Eros Resources Corp.,ERC.V
375,MAS Gold Corp.,MAS.V
376,Gold79 Mines Ltd.,AUU.V
377,iMetal Resources Inc.,IMR.V
378,Romios Gold Resources Inc.,RG.V
379,Winshear Gold Corp.,WINS.V
380,Transition Metals Corp.,XTM.V
381,Blue Thunder Mining Inc.,BLUE.V
382,Azucar Minerals Ltd.,AMZ.V
383,Dinero Ventures Ltd.,DNO.V
384,Gold Bull Resources Corp.,GBRC.V
385,Abacus Mining & Exploration Corporation,AME.V
386,Ranchero Gold Corp.,RNCH.V
387,Honey Badger Silver Inc.,TUF.V
388,Angold Resources Ltd.,AAU.V
389,Gungnir Resources Inc.,GUG.V
390,Belmont Resources Inc.,BEA.V
391,Contact Gold Corp.,C.V
392,Jayden Resources Inc.,JDN.V
393,Batero Gold Corp.,BAT.V
394,Pucara Gold Ltd.,TORO.V
395,Orex Minerals Inc.,REX.V
396,Tajiri Resources Corp.,TAJ.V
